TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",0,,,Produits météorologiques,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",1,,,Produits hydrologiques,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",2,,,Produits pour la surface des terres,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",3,,,Produits de télédétection satellitaire (auparavant «Produits spatiaux»),,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",4,,,Produits relatifs à la météorologie de l'espace,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",5-9,,,En réserve,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",10,,,Produits océanographiques,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",11-191,,,En réserve,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",192-254,,,En réserve pour un usage local,,
"Table de code 0.0 — Domaine de spécialisation des données traitées dans le message GRIB, numéro de la table principale du code GRIB",255,,,Valeur manquante,,