SUBTITLE,NUMERO,MEANING,UNITÉ
Domaine de spécialisation 0 — Produits météorologiques,0,Température,
Domaine de spécialisation 0 — Produits météorologiques,1,Humidité,
Domaine de spécialisation 0 — Produits météorologiques,2,Quantité de mouvement,
Domaine de spécialisation 0 — Produits météorologiques,3,Masse,
Domaine de spécialisation 0 — Produits météorologiques,4,Rayonnement de courte longueur d'onde,
Domaine de spécialisation 0 — Produits météorologiques,5,Rayonnement de grande longueur d'onde,
Domaine de spécialisation 0 — Produits météorologiques,6,Nébulosité,
Domaine de spécialisation 0 — Produits météorologiques,7,Indices de stabilité thermodynamique,
Domaine de spécialisation 0 — Produits météorologiques,8,Indices de stabilité cinématique,
Domaine de spécialisation 0 — Produits météorologiques,9,Probabilités de température,
Domaine de spécialisation 0 — Produits météorologiques,10,Probabilités d'humidité,
Domaine de spécialisation 0 — Produits météorologiques,11,Probabilités de quantité de mouvement,
Domaine de spécialisation 0 — Produits météorologiques,12,Probabilités de masse,
Domaine de spécialisation 0 — Produits météorologiques,13,Aérosols,
Domaine de spécialisation 0 — Produits météorologiques,14,"Gaz à l'état de trace (exemple: ozone, CO₂)",
Domaine de spécialisation 0 — Produits météorologiques,15,Radar,
Domaine de spécialisation 0 — Produits météorologiques,16,Images radar prévues,
Domaine de spécialisation 0 — Produits météorologiques,17,Électrodynamique,
Domaine de spécialisation 0 — Produits météorologiques,18,Radiations,
Domaine de spécialisation 0 — Produits météorologiques,19,Propriétés physiques de l'atmosphère,
Domaine de spécialisation 0 — Produits météorologiques,20,Constituants chimiques de l'atmosphère,
Domaine de spécialisation 0 — Produits météorologiques,21-189,En réserve,
Domaine de spécialisation 0 — Produits météorologiques,190,Chaîne CCITT IA5,
Domaine de spécialisation 0 — Produits météorologiques,191,Divers,
Domaine de spécialisation 0 — Produits météorologiques,192-254,En réserve pour un usage local,
Domaine de spécialisation 0 — Produits météorologiques,255,Valeur manquante,
Domaine de spécialisation 1 — Produits hydrologiques,0,Hydrologie,
Domaine de spécialisation 1 — Produits hydrologiques,1,Probabilités en hydrologie,
Domaine de spécialisation 1 — Produits hydrologiques,2,Propriétés des eaux intérieures et des sédiments,
Domaine de spécialisation 1 — Produits hydrologiques,3-191,En réserve,
Domaine de spécialisation 1 — Produits hydrologiques,192-254,En réserve pour un usage local,
Domaine de spécialisation 1 — Produits hydrologiques,255,Valeur manquante,
Domaine de spécialisation 2 — Produits pour la surface des terres,0,Végétation/Biomasse,
Domaine de spécialisation 2 — Produits pour la surface des terres,1,Produits spéciaux pour l'agriculture et l'aquaculture,
Domaine de spécialisation 2 — Produits pour la surface des terres,2,Produits pour les transports,
Domaine de spécialisation 2 — Produits pour la surface des terres,3,Produits relatifs aux sols,
Domaine de spécialisation 2 — Produits pour la surface des terres,4,Produits relatifs aux conditions météorologiques propices aux incendies,
Domaine de spécialisation 2 — Produits pour la surface des terres,5-191,En réserve,
Domaine de spécialisation 2 — Produits pour la surface des terres,192-254,En réserve pour un usage local,
Domaine de spécialisation 2 — Produits pour la surface des terres,255,Valeur manquante,
Domaine de spécialisation 3 — Produits spatiaux,0,Produits-image (voir la note 1),
Domaine de spécialisation 3 — Produits spatiaux,1,Produits quantitatifs (voir la note 2),
Domaine de spécialisation 3 — Produits spatiaux,2,Propriétés des nuages,
Domaine de spécialisation 3 — Produits spatiaux,3,Conditions propres aux règles de vol,
Domaine de spécialisation 3 — Produits spatiaux,4,Cendres volcaniques,
Domaine de spécialisation 3 — Produits spatiaux,5,Température de surface de la mer,
Domaine de spécialisation 3 — Produits spatiaux,6,Rayonnement solaire,
Domaine de spécialisation 3 — Produits spatiaux,7-191,En réserve,
Domaine de spécialisation 3 — Produits spatiaux,192-254,En réserve pour un usage local,
Domaine de spécialisation 3 — Produits spatiaux,255,Valeur manquante,
Domaine de spécialisation 10 — Produits océanographiques,0,Vagues,
Domaine de spécialisation 10 — Produits océanographiques,1,Courants,
Domaine de spécialisation 10 — Produits océanographiques,2,Glace,
Domaine de spécialisation 10 — Produits océanographiques,3,Propriétés en surface,
Domaine de spécialisation 10 — Produits océanographiques,4,Propriétés sous-marines,
Domaine de spécialisation 10 — Produits océanographiques,5-190,En réserve,
Domaine de spécialisation 10 — Produits océanographiques,191,Divers,
Domaine de spécialisation 10 — Produits océanographiques,192-254,En réserve pour un usage local,
Domaine de spécialisation 10 — Produits océanographiques,255,Valeur manquante,